Age,Gender,Country,state,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,mejor_cluster
37,2,United States,IL,2,0,1,3,1,0,1,1,2,0,1,1,1,0,0,2,1,0,2,1,0,7
44,1,United States,IN,2,0,0,1,5,0,0,2,0,2,2,2,4,2,0,0,0,0,0,2,0,9
31,1,United States,TX,2,0,0,0,3,1,1,1,0,2,2,2,4,0,0,2,1,1,1,2,0,3
33,1,United States,TN,2,1,0,2,1,0,1,1,2,0,2,2,4,0,0,1,1,0,2,2,0,6
35,2,United States,MI,2,1,1,2,0,1,1,0,0,0,0,0,2,2,2,2,0,0,0,2,0,2
42,2,United States,IL,2,1,1,2,3,0,1,1,1,0,0,0,3,2,0,1,1,0,2,0,0,2
31,1,United States,OH,2,0,1,2,1,1,1,2,0,0,0,2,4,0,0,2,1,0,0,2,0,7
42,2,United States,CA,2,1,1,2,2,0,0,1,1,0,0,2,2,1,1,1,1,2,2,0,1,1
36,1,United States,CT,2,1,0,0,4,0,1,2,2,0,2,2,4,0,0,1,1,0,0,2,0,3
29,2,United States,IL,2,1,1,1,2,0,1,1,2,0,0,2,1,0,0,1,2,2,2,2,0,1
32,1,United States,TN,2,0,1,2,1,0,1,1,1,0,2,2,4,2,0,2,1,0,0,0,0,4
46,1,United States,MD,1,1,0,2,0,1,1,1,2,1,2,1,0,0,0,1,1,0,1,1,1,6
29,1,United States,NY,0,1,1,2,3,0,1,1,1,0,0,0,2,2,0,2,2,0,0,0,0,2
31,1,United States,NC,1,0,0,0,0,1,1,0,0,0,0,1,2,0,0,2,2,0,2,1,0,3
46,1,United States,MA,0,0,1,3,2,1,1,1,1,0,0,2,4,2,0,2,1,0,2,0,0,4
41,1,United States,IA,0,0,1,0,5,0,0,2,0,0,2,2,4,2,0,0,0,0,1,2,0,4
33,1,United States,CA,0,1,1,1,2,0,1,1,2,2,1,1,4,0,0,1,1,0,1,2,0,1
35,1,United States,TN,0,1,1,2,5,0,0,1,1,0,2,0,0,1,0,2,1,0,1,0,0,1
33,1,United States,TN,0,0,0,4,0,0,1,2,2,0,2,2,4,2,2,2,0,0,0,2,0,5
35,2,United States,CA,0,1,1,1,1,1,1,1,1,2,2,2,4,0,0,1,1,2,2,1,0,1
34,1,United States,OH,0,0,1,2,2,1,1,2,2,0,2,2,2,0,0,2,0,0,0,0,0,7
31,1,United States,PA,1,1,0,1,0,1,1,0,1,0,0,2,2,1,0,0,0,0,0,0,1,8
42,1,United States,WA,0,1,1,2,2,1,1,1,1,1,1,1,0,2,0,2,2,2,1,2,0,2
40,2,United States,WI,0,0,1,2,0,0,1,1,1,0,0,2,4,2,0,2,0,0,2,1,0,4
